Date,Subways_Ridership,Subways_Percentage_Prepandemic,Buses_Ridership,Buses_Percentage_Prepandemic,LIRR_Ridership, LIRR_Percentage_Prepandemic,Metronorth_Ridership,Metronorth_Percentage_Prepandemic,Access-A-Ride_Total Scheduled,Acces-A-Ride_Percentage_Prepandemic,Bridges_and_Tunnel_Total_Traffic,Bridges_and_Tunnels_Percentage_Prepandemic,Staten_Island_Railway_Ridership,Staten_Island_Rallway_Percentage_Prepandemic,Day_of_Week,Total_Ridership,Subway_Ridership_Ratio
2020-03-01,2212965,97,984908,99,86790,100,55825,59,19922,112,786960,98,1636,52,Sunday,4325396,0.5116213636855447
2020-03-07,2814637,92,1249085,94,106058,98,75838,56,18117,107,827907,95,2445,48,Saturday,5494703,0.5122455208225085
2020-03-08,2120656,93,957163,96,81565,94,60800,64,19477,111,765083,95,1672,53,Sunday,4177347,0.5076561750795421
2020-03-13,3484996,63,1715737,77,158582,51,167176,61,26640,90,860419,93,11769,74,Friday,7242228,0.4812049551602076
2020-03-14,1670665,54,993287,75,44885,42,39701,28,13394,79,631101,72,2135,42,Saturday,3741825,0.44648400179057013
2020-03-15,1157711,51,711555,72,33407,38,32641,35,12480,71,535987,66,1368,43,Sunday,2646869,0.43738885452963483
2020-03-16,2178555,39,1237309,55,119333,38,153262,56,21145,71,708869,77,5741,36,Monday,4925768,0.44227722458711005
2020-03-17,1788786,32,1094949,49,83578,27,147391,53,18173,61,650444,71,4573,28,Tuesday,4209653,0.42492480971709545
2020-03-18,1625280,28,1059502,47,74883,24,146118,53,15942,54,634853,69,4133,26,Wednesday,3965285,0.409877221939911
2020-03-19,1422112,26,933602,42,59538,19,144466,52,14116,47,569696,62,3452,22,Thursday,3493320,0.4070946835674945
2020-03-20,1309125,24,868602,39,50021,16,145160,53,12744,43,563261,61,3124,20,Friday,3241510,0.40386270596111074
2020-03-21,619618,20,411491,31,12438,12,23700,17,6467,38,382992,44,1044,21,Saturday,1478738,0.4190181086845675
2020-03-22,408723,18,73517,7,8891,10,20830,22,4824,27,277050,34,641,20,Sunday,585478,0.6981013804105364
2020-03-23,709499,13,59321,3,30564,10,139285,51,9902,33,361513,39,1639,10,Monday,997990,0.7109279652100723
2020-03-24,741587,13,60334,3,29785,10,139194,50,9133,31,395493,43,1727,11,Tuesday,1031234,0.7191258240127847
2020-03-25,690032,12,51769,2,26143,8,138239,50,9512,32,375767,41,1572,10,Wednesday,957952,0.7203200160342063
2020-03-26,680360,12,49970,2,23809,8,138668,50,8795,30,390117,42,1563,10,Thursday,942777,0.7216552800927473
2020-03-27,656817,12,45514,2,20355,6,138903,50,8409,28,396777,43,1495,9,Friday,907103,0.7240820502192143
2020-03-28,332393,11,19745,1,5279,5,19088,14,4491,27,240702,28,600,12,Saturday,396250,0.8388466876971609
2020-03-29,263700,12,14307,1,4358,5,18152,19,3374,19,197154,24,419,13,Sunday,314824,0.8376108555891546
2020-03-30,545215,10,33659,2,19741,6,137762,50,8084,27,344689,37,1140,7,Monday,770036,0.7080383254808866
2020-03-31,508106,9,32211,1,16194,5,137464,50,7672,26,337626,37,1043,7,Tuesday,726186,0.69969126367074
2020-04-01,513481,9,29373,1,10548,3,9300,3,8151,28,342221,36,720,4,Wednesday,592075,0.8672566820081915
2020-04-02,485586,9,26788,1,10057,3,9492,3,7077,24,339734,36,882,5,Thursday,558711,0.8691183814172264
2020-04-03,483357,9,24418,1,9657,3,9770,3,7794,27,340272,36,843,5,Friday,551620,0.8762499546789456
2020-04-04,282278,9,13168,1,3727,3,4451,3,4375,26,243323,27,425,8,Saturday,316792,0.8910515417055986
