Month,Agency,Ridership
2008-01-01,MetroNorth,6453734.0
2008-02-01,MetroNorth,6144377.0
2008-03-01,MetroNorth,6602280.0
2008-04-01,Briges & Tunnels,24900328.0
2008-04-01,MetroNorth,6787480.0
2008-05-01,Briges & Tunnels,26172575.0
2008-05-01,MetroNorth,6840901.0
2008-06-01,Briges & Tunnels,25940107.0
2008-06-01,MetroNorth,7008657.0
2008-07-01,Briges & Tunnels,26189384.0
2008-07-01,MetroNorth,7298152.0
2008-08-01,Briges & Tunnels,26448624.0
2008-08-01,MetroNorth,6826968.0
2008-09-01,Briges & Tunnels,24633191.0
2008-09-01,MetroNorth,6833215.0
2008-10-01,Briges & Tunnels,25258664.0
2008-10-01,MetroNorth,7322841.0
2008-11-01,Briges & Tunnels,23914201.0
2008-11-01,MetroNorth,6357900.0
2008-12-01,Briges & Tunnels,24218648.0
2008-12-01,MetroNorth,6989977.0
2009-01-01,Briges & Tunnels,22260909.0
2009-01-01,MetroNorth,6176035.0
2009-02-01,Briges & Tunnels,21497488.0
2009-02-01,MetroNorth,5731571.0
2009-03-01,Briges & Tunnels,24295234.0
2009-03-01,MetroNorth,6593183.0
2009-04-01,Briges & Tunnels,24839950.0
2009-04-01,MetroNorth,6600645.0
2009-05-01,Briges & Tunnels,26019431.0
2009-05-01,MetroNorth,6387435.0
2009-06-01,Briges & Tunnels,25847929.0
2009-06-01,MetroNorth,6864270.0
2009-07-01,Briges & Tunnels,26152065.0
2009-07-01,MetroNorth,6830791.0
2009-08-01,Briges & Tunnels,26084323.0
2009-08-01,MetroNorth,6392629.0
2009-09-01,Briges & Tunnels,24838705.0
2009-09-01,MetroNorth,6511692.0
2009-10-01,Briges & Tunnels,25300215.0
2009-10-01,MetroNorth,6788990.0
2009-11-01,Briges & Tunnels,23898100.0
2009-11-01,MetroNorth,6336672.0
2009-12-01,Briges & Tunnels,23775856.0
2009-12-01,MetroNorth,6761648.0
2010-01-01,Briges & Tunnels,22601000.0
2010-01-01,MetroNorth,5935008.0
2010-02-01,Briges & Tunnels,19389016.0
2010-02-01,MetroNorth,5572064.0
2010-03-01,Briges & Tunnels,24782495.0
2010-03-01,MetroNorth,6769641.0
2010-04-01,Briges & Tunnels,24845798.0
2010-04-01,MetroNorth,6675241.0
2010-05-01,Briges & Tunnels,26252605.0
2010-05-01,MetroNorth,6580762.0
2010-06-01,Briges & Tunnels,26218749.0
2010-06-01,MetroNorth,6992372.0
2010-07-01,Briges & Tunnels,26250587.0
2010-07-01,MetroNorth,6832493.0
2010-08-01,Briges & Tunnels,26468484.0
2010-08-01,MetroNorth,6747243.0
2010-09-01,Briges & Tunnels,24895673.0
2010-09-01,MetroNorth,6693644.0
2010-10-01,Briges & Tunnels,25745102.0
2010-10-01,MetroNorth,6867305.0
2010-11-01,Briges & Tunnels,24276731.0
2010-11-01,MetroNorth,6654086.0
2010-12-01,Briges & Tunnels,23232917.0
2010-12-01,MetroNorth,6924465.0
2011-01-01,Briges & Tunnels,20667163.0
2011-01-01,MetroNorth,5916958.0
2011-02-01,Briges & Tunnels,20416996.0
2011-02-01,MetroNorth,5685834.0
2011-03-01,Briges & Tunnels,24217298.0
2011-03-01,MetroNorth,6896269.0
2011-04-01,Briges & Tunnels,23862645.0
2011-04-01,MetroNorth,6648157.0
2011-05-01,Briges & Tunnels,25431952.0
2011-05-01,MetroNorth,6788759.0
2011-06-01,Briges & Tunnels,25570907.0
2011-06-01,MetroNorth,7164508.0
2011-07-01,Briges & Tunnels,25760847.0
2011-07-01,MetroNorth,6854351.0
2011-08-01,Briges & Tunnels,24569331.0
2011-08-01,MetroNorth,6551648.0
2011-09-01,Briges & Tunnels,24267823.0
2011-09-01,MetroNorth,6860460.0
2011-10-01,Briges & Tunnels,24418354.0
2011-10-01,MetroNorth,6945233.0
2011-11-01,Briges & Tunnels,23755837.0
2011-11-01,MetroNorth,6851523.0
2011-12-01,Briges & Tunnels,23977111.0
2011-12-01,MetroNorth,7201122.0
2012-01-01,Briges & Tunnels,22057316.0
2012-01-01,MetroNorth,6419039.0
2012-02-01,Briges & Tunnels,21540526.0
2012-02-01,MetroNorth,6265035.0
2012-03-01,Briges & Tunnels,24224899.0
2012-03-01,MetroNorth,6994606.0
2012-04-01,Briges & Tunnels,23927256.0
2012-04-01,MetroNorth,6831738.0
2012-05-01,Briges & Tunnels,25487361.0
2012-05-01,MetroNorth,7094282.0
2012-06-01,Briges & Tunnels,25516755.0
2012-06-01,MetroNorth,7121125.0
2012-07-01,Briges & Tunnels,25161554.0
2012-07-01,MetroNorth,7062979.0
2012-08-01,Briges & Tunnels,25947715.0
2012-08-01,MetroNorth,7192537.0
2012-09-01,Briges & Tunnels,24037363.0
2012-09-01,MetroNorth,6618194.0
2012-10-01,Briges & Tunnels,23242718.0
2012-10-01,MetroNorth,6639905.0
2012-11-01,Briges & Tunnels,21345408.0
2012-11-01,MetroNorth,6211787.0
2012-12-01,Briges & Tunnels,23688503.0
2012-12-01,MetroNorth,6901053.0
2013-01-01,Briges & Tunnels,22576303.0
2013-01-01,MetroNorth,6559572.0
2013-02-01,Briges & Tunnels,20084319.0
2013-02-01,MetroNorth,5883759.0
2013-03-01,Briges & Tunnels,23650309.0
2013-03-01,MetroNorth,6827779.0
2013-04-01,Briges & Tunnels,23916180.0
2013-04-01,MetroNorth,6973346.0
2013-05-01,Briges & Tunnels,25329798.0
2013-05-01,MetroNorth,7061067.0
2013-06-01,Briges & Tunnels,25006128.0
2013-06-01,MetroNorth,6959429.0
2013-07-01,Briges & Tunnels,25161936.0
2013-07-01,MetroNorth,7156528.0
2013-08-01,Briges & Tunnels,25905144.0
2013-08-01,MetroNorth,6995610.0
2013-09-01,Briges & Tunnels,24083596.0
2013-09-01,MetroNorth,6659062.0
2013-10-01,Briges & Tunnels,25324457.0
2013-10-01,MetroNorth,7243522.0
2013-11-01,Briges & Tunnels,23456183.0
2013-11-01,MetroNorth,6614618.0
2013-12-01,Briges & Tunnels,23298003.0
2013-12-01,MetroNorth,6927541.0
2014-01-01,Briges & Tunnels,21019162.0
2014-01-01,MetroNorth,6398208.0
2014-02-01,Briges & Tunnels,18939446.0
2014-02-01,MetroNorth,5846639.0
2014-03-01,Briges & Tunnels,23704780.0
2014-03-01,MetroNorth,6684169.0
2014-04-01,Briges & Tunnels,24107629.0
2014-04-01,MetroNorth,7018716.0
2014-05-01,Briges & Tunnels,25942604.0
2014-05-01,MetroNorth,7028443.0
2014-06-01,Briges & Tunnels,25646106.0
2014-06-01,MetroNorth,7213680.0
2014-07-01,Briges & Tunnels,25704941.0
2014-07-01,MetroNorth,7366433.0
2014-08-01,Briges & Tunnels,26211080.0
2014-08-01,MetroNorth,6935605.0
2014-09-01,Briges & Tunnels,24762381.0
2014-09-01,MetroNorth,7072104.0
2014-10-01,Briges & Tunnels,25472271.0
2014-10-01,MetroNorth,7499635.0
2014-11-01,Briges & Tunnels,23646478.0
2014-11-01,MetroNorth,6555045.0
2014-12-01,Briges & Tunnels,24479703.0
2014-12-01,MetroNorth,7356438.0
2015-01-01,Briges & Tunnels,21240641.0
2015-01-01,MetroNorth,6173387.0
2015-02-01,Briges & Tunnels,20223868.0
2015-02-01,MetroNorth,5849842.0
2015-03-01,Briges & Tunnels,24114600.0
2015-03-01,MetroNorth,7018867.0
2015-04-01,Briges & Tunnels,25092481.0
2015-04-01,MetroNorth,7134749.0
2015-05-01,Briges & Tunnels,26787746.0
2015-05-01,MetroNorth,7034781.0
2015-06-01,Briges & Tunnels,26408745.0
2015-06-01,MetroNorth,7450980.0
2015-07-01,Briges & Tunnels,27166917.0
2015-07-01,MetroNorth,7487082.0
2015-08-01,Briges & Tunnels,27435839.0
2015-08-01,MetroNorth,7050090.0
2015-09-01,Briges & Tunnels,25455237.0
2015-09-01,MetroNorth,7199158.0
2015-10-01,Briges & Tunnels,26488811.0
2015-10-01,MetroNorth,7513133.0
2015-11-01,Briges & Tunnels,25048798.0
2015-11-01,MetroNorth,6859735.0
2015-12-01,Briges & Tunnels,25657663.0
2015-12-01,MetroNorth,7486227.0
2016-01-01,Briges & Tunnels,22457720.0
2016-01-01,MetroNorth,6340920.0
2016-02-01,Briges & Tunnels,22617310.0
2016-02-01,MetroNorth,6313644.0
2016-03-01,Briges & Tunnels,25954972.0
2016-03-01,MetroNorth,7378875.0
